fuzzyKey	title	scrapedDate	scrapedType	scrapedSubType	image
8dbee02a4db412ce1adc8fabb504f516	Press Release - 2021.07.26 - Covid 19 Infection Report	2021-07-26	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.07.30/PR_-_742_English-page-001.jpg
72850c504af137e595a353117d62b864	Press Release - 2021.07.26 - Covid 19 Infection Deaths	2021-07-26	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.07.30/PR_-_740_English-page-001.jpg
3458cc39456b55ae39fa5582f08e2e9e	Press Release - 2021.07.26	2021-07-26	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.07.30/PR_-_739_English-page-001.jpg
e2b83e2b28a866650573cd2027708307	Press Release - 2021.07.26 - Release fro Isolation	2021-07-26	Press Release	Release fro Isolation	https://www.dgi.gov.lk/images/2021.07.30/PR-737_-_English-page-001.jpg
d4a08bf3cc9d528fbf12544949396c79	Press Release - 2021.07.25 - Covid 19 infection report	2021-07-25	Press Release	Covid 19 infection report	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_736_English-page-001.jpg
33205c6baea7e20390f5515642892b2e	Press Release - 2021.07.25 - Covid 19 infection deaths	2021-07-25	Press Release	Covid 19 infection deaths	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_734_English-page-001.jpg
bb5c164aa53204e4bffd07cf3f21cea0	Press Release - 2021.07.24	2021-07-24	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_733_English-page-001.jpg
d3bf9ea82b48a3cc9161727ede2302d5	Press Release - 2021.07.24 - Covid 19 infection deaths	2021-07-24	Press Release	Covid 19 infection deaths	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_732_English-page-001.jpg
2329d6fbf9187946b9fb86bd282137a8	Press Release - 2021.07.23 - Covid 19 Infection Report	2021-07-23	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_729_English-page-001.jpg
e29073db30c00319fefdc46849032005	Press Release - 2021.07.23	2021-07-23	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_728_English-page-001.jpg
abfd9896ca6686d7e15efada3836edee	Press Release - 2021.07.23 - Covid 19 Infection Deaths	2021-07-23	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_727_English-page-001.jpg
a224aa1400700a0c960a524b3cae1fdd	Press Release - 2021.07.23 - Release from Isolation	2021-07-23	Press Release	Release from Isolation	https://www.dgi.gov.lk/images/2021.07.30/PR_-_726_English-page-001.jpg
e1985c8c931227c770266fb98f4421de	Press Release - 2021.07.22	2021-07-22	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_725_English-page-001.jpg
fe307eefcfac45e86e83a452b3b68adf	Press Release - 2021.07.22	2021-07-22	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.07.22/Press_Release_-_724-page-001.jpg
e83b73d57b8e2b785c2008b03790196e	Press Release - 2021.07.22 - Covid 19 infection deaths	2021-07-22	Press Release	Covid 19 infection deaths	https://www.dgi.gov.lk/images/2021.07.22/Press_Release_-_723_English-page-001.jpg
f4735abfe1086cb51251a623a7402b33	Press Release - 2021.07.22 - Release from Isolation	2021-07-22	Press Release	Release from Isolation	https://www.dgi.gov.lk/images/2021.07.22/PR_720-_English-page-001.jpg
aab5b84115ada26d51ec5f47250312ab	Press Release - 2021.07.21 - Covid 19 infection report	2021-07-21	Press Release	Covid 19 infection report	https://www.dgi.gov.lk/images/2021.07.22/Press_Release_-_719_English-page-001.jpg
c74a0784b8d350dfa2a114d3bc484feb	Press Release - 2021.07.21	2021-07-21	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.07.22/Press_Release_-_718_English-page-001.jpg
9eec530cadb7f55a0dc4befaf76be045	Press Release - 2021.07.21 - Covid 19 infection deaths	2021-07-21	Press Release	Covid 19 infection deaths	https://www.dgi.gov.lk/images/2021.07.22/Press_Release_-_717_Englidh-page-001.jpg
